recorded_at,device_name,power_kwh,water_m3,gas_m3
2025-04-01 10:32:23,Lighting,1.37,0.32,0.28
2025-04-01 10:32:37,Washing Machine,2.74,0.95,0.32
2025-04-01 10:33:51,Heater,1.05,0.16,0.37
2025-04-01 10:35:12,Heater,2.8,0.38,0.37
2025-04-01 10:35:23,Washing Machine,1.22,0.02,0.4
2025-04-01 10:35:37,Air Conditioner,1.96,0.98,0.46
2025-04-01 10:36:52,Lighting,2.97,0.77,0.08
2025-04-01 10:38:14,Heater,0.79,0.73,0.4
2025-04-01 10:38:23,Air Conditioner,2.07,0.25,0.3
2025-04-01 10:38:37,Heater,3.35,0.16,0.38
2025-04-01 10:39:53,Washing Machine,2.54,0.9,0.37
2025-04-01 10:41:15,Washing Machine,0.91,0.65,0.49
2025-04-01 10:41:37,Lighting,1.5,0.84,0.1
2025-04-01 10:42:54,Washing Machine,1.42,0.97,0.36
2025-04-01 10:44:16,Air Conditioner,2.05,0.71,0.13
2025-04-01 10:44:37,Heater,2.1,0.4,0.41
2025-04-01 10:45:55,Washing Machine,0.89,0.25,0.23
2025-04-01 10:47:18,Lighting,2.76,0.02,0.04
2025-04-01 10:47:37,Air Conditioner,3.35,0.66,0.09
2025-04-01 10:48:57,Heater,2.95,0.35,0.19
2025-04-01 10:50:19,Lighting,0.54,0.84,0.49
2025-04-01 10:50:37,Air Conditioner,2.98,0.67,0.14
2025-04-01 10:51:58,Washing Machine,2.83,0.81,0.18
2025-04-01 10:53:20,Air Conditioner,1.47,0.57,0.01
2025-04-01 10:53:38,Washing Machine,1.75,0.13,0.46
2025-04-01 10:54:59,Heater,2.38,0.52,0.4
2025-04-01 10:56:21,Air Conditioner,3.37,0.37,0.22
2025-04-01 10:56:38,Air Conditioner,0.97,0.96,0.48
2025-04-01 10:58:01,Washing Machine,0.97,0.01,0.49
2025-04-01 10:59:23,Lighting,3.36,0.01,0.49
2025-04-01 10:59:38,Washing Machine,1.45,0.25,0.14
2025-04-01 11:01:02,Heater,2.53,0.43,0.41
2025-04-01 11:02:24,Refrigerator,2.08,0.73,0.41
2025-04-01 11:02:38,Washing Machine,0.97,0.37,0.14
2025-04-01 11:04:03,Washing Machine,3.21,0.3,0.41
2025-04-01 11:05:25,Air Conditioner,1.85,0.1,0.06
2025-04-01 11:05:38,Air Conditioner,2.38,0.72,0.15
2025-04-01 11:07:04,Refrigerator,0.56,0.06,0.09
2025-04-01 11:08:26,Washing Machine,3.5,0.88,0.47
2025-04-01 11:08:38,Heater,0.55,0.33,0.38
2025-04-01 11:10:05,Refrigerator,1.61,0.81,0.15
2025-04-01 11:11:28,Heater,1.0,0.57,0.36
2025-04-01 11:11:38,Lighting,1.93,0.61,0.37
2025-04-01 11:13:07,Lighting,0.73,0.7,0.48
2025-04-01 11:14:29,Washing Machine,2.31,0.63,0.15
2025-04-01 11:14:38,Refrigerator,2.04,0.69,0.11
2025-04-01 11:16:08,Refrigerator,3.07,0.47,0.07
2025-04-01 11:17:30,Heater,1.15,0.57,0.4
2025-04-01 11:17:38,Lighting,1.33,0.79,0.5
2025-04-01 11:19:09,Lighting,1.53,0.85,0.44
2025-04-11 10:21:00,987,225
2025-04-11 10:21:00,987,225
2025-04-11 10:21:00,987,225
2025-04-11 10:21:00,987,225
2025-04-11 10:21:00,987,225
2025-04-11 10:21:00,987,225
2025-04-11 10:21:00,987,225
2025-04-11 10:21:00,987,225
2025-04-11 10:21:00,987,223
2025-04-11 10:21:00,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:01,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:02,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:03,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:04,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:05,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:06,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:07,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:08,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,987,223
2025-04-11 10:21:09,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:10,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:11,988,223
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:12,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:13,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:14,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:15,988,224
2025-04-11 10:21:16,988,224
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:16,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:17,988,225
2025-04-11 10:21:18,988,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:18,987,225
2025-04-11 10:21:19,987,225
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:19,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:20,987,228
2025-04-11 10:21:21,987,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:21,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:22,988,228
2025-04-11 10:21:23,988,228
2025-04-11 10:21:23,988,228
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:23,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:24,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:25,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:26,988,229
2025-04-11 10:21:27,988,229
2025-04-11 10:21:27,988,229
2025-04-11 10:21:27,988,229
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:27,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
2025-04-11 10:21:28,988,232
