2025-04-14 11:46:33, CO2=946, PM2.5=11.3
2025-04-15 11:43:48, CO2=975, PM2.5=13.7
2025-04-15 11:44:21, CO2=978, PM2.5=13.4
2025-04-15 11:44:54, CO2=976, PM2.5=13.8
2025-04-15 11:45:28, CO2=976, PM2.5=13.8
2025-04-15 11:46:06, CO2=975, PM2.5=13.2
2025-04-15 11:46:40, CO2=972, PM2.5=14.1
2025-04-15 11:47:14, CO2=971, PM2.5=13.9
2025-04-15 11:47:47, CO2=972, PM2.5=13.8
2025-04-15 11:48:20, CO2=973, PM2.5=13.3
2025-04-15 11:48:53, CO2=975, PM2.5=13.7
2025-04-15 11:49:26, CO2=978, PM2.5=14.5
2025-04-15 11:49:59, CO2=980, PM2.5=13.3
2025-04-15 11:50:32, CO2=978, PM2.5=12.3
2025-04-15 11:51:05, CO2=977, PM2.5=13.7
2025-04-15 11:51:39, CO2=976, PM2.5=13.8
2025-04-15 11:52:21, CO2=977, PM2.5=13.5
2025-04-15 11:52:56, CO2=980, PM2.5=13.5
2025-04-15 11:53:29, CO2=982, PM2.5=14.2
2025-04-15 11:54:02, CO2=982, PM2.5=13.9
2025-04-15 11:54:35, CO2=983, PM2.5=14.3
2025-04-15 11:55:08, CO2=988, PM2.5=13.3
2025-04-15 11:55:41, CO2=989, PM2.5=13.3
2025-04-15 11:56:14, CO2=991, PM2.5=13.3
2025-04-15 11:56:48, CO2=990, PM2.5=13.5
2025-04-15 11:57:22, CO2=990, PM2.5=13.7
2025-04-15 11:57:54, CO2=990, PM2.5=13.6
2025-04-15 11:58:27, CO2=988, PM2.5=13.2
2025-04-15 11:59:01, CO2=988, PM2.5=14.5
2025-04-15 11:59:34, CO2=989, PM2.5=13.3
2025-04-15 12:00:07, CO2=990, PM2.5=12.7
2025-04-15 12:00:39, CO2=988, PM2.5=13.5
2025-04-15 12:01:12, CO2=988, PM2.5=14.0
2025-04-15 12:01:45, CO2=993, PM2.5=13.4
2025-04-15 12:02:18, CO2=998, PM2.5=13.6
2025-04-15 12:02:51, CO2=1001, PM2.5=13.8
2025-04-15 12:03:25, CO2=1002, PM2.5=13.6
2025-04-15 12:03:57, CO2=999, PM2.5=14.0
2025-04-15 12:04:31, CO2=998, PM2.5=13.4
2025-04-15 12:05:04, CO2=994, PM2.5=13.9
2025-04-15 12:05:37, CO2=991, PM2.5=13.3
2025-04-15 12:06:10, CO2=991, PM2.5=13.5
2025-04-15 12:06:43, CO2=989, PM2.5=13.0
2025-04-15 12:07:47, CO2=986, PM2.5=13.8
2025-04-15 12:08:05, CO2=984, PM2.5=13.8
2025-04-15 12:08:46, CO2=984, PM2.5=13.2
2025-04-15 12:09:50, CO2=984, PM2.5=13.5
2025-04-15 12:10:25, CO2=984, PM2.5=12.5
2025-04-15 12:12:03, CO2=985, PM2.5=13.8
2025-04-15 12:12:45, CO2=985, PM2.5=14.0
2025-04-15 12:18:07, CO2=990, PM2.5=13.5
2025-04-15 12:19:08, CO2=986, PM2.5=13.5
2025-04-15 12:19:45, CO2=982, PM2.5=13.8
2025-04-15 12:20:27, CO2=980, PM2.5=12.7
2025-04-15 12:21:04, CO2=979, PM2.5=13.9
2025-04-15 12:21:42, CO2=980, PM2.5=13.7
2025-04-15 12:22:18, CO2=980, PM2.5=13.8
2025-04-15 12:22:52, CO2=980, PM2.5=13.8
2025-04-15 12:23:32, CO2=982, PM2.5=14.0
2025-04-15 12:24:05, CO2=988, PM2.5=13.6
2025-04-15 12:24:38, CO2=998, PM2.5=13.3
2025-04-15 12:25:13, CO2=999, PM2.5=13.5
2025-04-15 12:25:46, CO2=1002, PM2.5=14.2
2025-04-15 12:26:19, CO2=1003, PM2.5=13.3
2025-04-15 12:26:53, CO2=1004, PM2.5=13.2
2025-04-15 12:27:26, CO2=1006, PM2.5=13.6
2025-04-15 12:28:00, CO2=1009, PM2.5=13.9
2025-04-15 12:28:33, CO2=1009, PM2.5=14.1
2025-04-15 12:29:06, CO2=1013, PM2.5=13.7
2025-04-15 12:29:39, CO2=1013, PM2.5=14.1
2025-04-15 12:30:12, CO2=1016, PM2.5=14.0
2025-04-15 12:30:45, CO2=1017, PM2.5=12.6
2025-04-15 12:31:18, CO2=1024, PM2.5=13.8
2025-04-15 12:31:51, CO2=1024, PM2.5=12.9
2025-04-15 12:32:24, CO2=1029, PM2.5=12.7
2025-04-15 12:32:57, CO2=1030, PM2.5=12.8
2025-04-15 12:33:29, CO2=1030, PM2.5=13.1
2025-04-15 12:34:02, CO2=1023, PM2.5=13.4
2025-04-15 12:34:39, CO2=1011, PM2.5=13.1
2025-04-15 12:35:13, CO2=1009, PM2.5=12.3
2025-04-15 12:35:46, CO2=1011, PM2.5=12.9
2025-04-15 12:36:19, CO2=1015, PM2.5=13.2
2025-04-15 12:36:53, CO2=1021, PM2.5=12.9
2025-04-15 12:37:26, CO2=1017, PM2.5=12.6
2025-04-15 12:37:58, CO2=1014, PM2.5=12.7
2025-04-15 12:38:32, CO2=1013, PM2.5=12.8
2025-04-15 12:39:05, CO2=1013, PM2.5=12.8
2025-04-15 12:39:39, CO2=1013, PM2.5=12.3
2025-04-15 12:40:12, CO2=1014, PM2.5=12.7
2025-04-15 12:40:46, CO2=1013, PM2.5=13.0
2025-04-15 12:41:18, CO2=1012, PM2.5=12.9
2025-04-15 12:41:52, CO2=1012, PM2.5=12.0
2025-04-15 12:42:25, CO2=1015, PM2.5=12.7
2025-04-15 12:42:57, CO2=1015, PM2.5=13.4
2025-04-15 12:43:31, CO2=1015, PM2.5=12.2
2025-04-15 12:44:04, CO2=1013, PM2.5=12.1
2025-04-15 12:44:39, CO2=1011, PM2.5=12.9
2025-04-15 12:45:12, CO2=1006, PM2.5=11.9
2025-04-15 12:45:45, CO2=1006, PM2.5=12.2
2025-04-15 12:46:20, CO2=1006, PM2.5=12.2
2025-04-15 12:46:54, CO2=1008, PM2.5=12.9
2025-04-15 12:47:28, CO2=1010, PM2.5=12.8
2025-04-15 12:48:01, CO2=1014, PM2.5=12.0
2025-04-15 12:48:36, CO2=1013, PM2.5=11.9
2025-04-15 12:49:09, CO2=1013, PM2.5=12.6
2025-04-15 12:49:42, CO2=1015, PM2.5=13.0
2025-04-15 12:50:16, CO2=1008, PM2.5=12.2
2025-04-15 12:50:50, CO2=1006, PM2.5=11.8
2025-04-15 12:51:23, CO2=1008, PM2.5=13.2
2025-04-15 12:51:56, CO2=1008, PM2.5=12.7
2025-04-15 12:52:29, CO2=1004, PM2.5=12.2
2025-04-15 12:53:02, CO2=993, PM2.5=12.8
2025-04-15 12:53:35, CO2=985, PM2.5=13.4
2025-04-15 12:54:08, CO2=980, PM2.5=13.0
2025-04-15 12:54:41, CO2=978, PM2.5=12.8
2025-04-15 12:55:13, CO2=976, PM2.5=12.7
2025-04-15 12:55:47, CO2=975, PM2.5=13.7
2025-04-15 12:56:21, CO2=972, PM2.5=11.9
2025-04-15 12:56:55, CO2=970, PM2.5=12.4
2025-04-15 12:57:29, CO2=978, PM2.5=12.8
2025-04-15 13:25:41, CO2=958, PM2.5=12.8
2025-04-15 13:31:17, CO2=954, PM2.5=13.2
2025-04-15 13:31:50, CO2=955, PM2.5=13.7
2025-04-15 13:32:23, CO2=954, PM2.5=13.3
2025-04-15 13:33:00, CO2=954, PM2.5=12.8
2025-04-15 13:33:33, CO2=958, PM2.5=13.2
2025-04-15 13:34:07, CO2=961, PM2.5=13.8
2025-04-15 13:34:40, CO2=963, PM2.5=13.3
2025-04-15 13:35:14, CO2=980, PM2.5=13.8
2025-04-15 13:35:47, CO2=990, PM2.5=13.1
2025-04-15 13:36:19, CO2=987, PM2.5=14.0
2025-04-15 13:36:52, CO2=973, PM2.5=12.7
2025-04-15 13:37:25, CO2=962, PM2.5=13.2
2025-04-15 13:37:58, CO2=954, PM2.5=13.2
2025-04-15 13:38:30, CO2=949, PM2.5=13.3
2025-04-15 13:39:03, CO2=946, PM2.5=14.3
2025-04-15 13:47:37, CO2=917, PM2.5=13.2
2025-04-15 13:48:14, CO2=918, PM2.5=13.6
2025-04-15 13:48:47, CO2=922, PM2.5=13.7
2025-04-15 13:49:20, CO2=924, PM2.5=13.4
2025-04-15 13:49:53, CO2=923, PM2.5=14.3
2025-04-15 13:50:26, CO2=924, PM2.5=13.8
2025-04-15 13:50:59, CO2=925, PM2.5=13.9
2025-04-15 13:51:32, CO2=926, PM2.5=13.4
2025-04-15 13:52:05, CO2=927, PM2.5=13.1
2025-04-15 13:52:39, CO2=929, PM2.5=13.4
2025-04-15 13:53:12, CO2=930, PM2.5=13.4
2025-04-15 13:53:45, CO2=935, PM2.5=13.8
2025-04-15 13:54:18, CO2=938, PM2.5=13.9
2025-04-15 13:54:51, CO2=939, PM2.5=13.2
2025-04-15 13:55:25, CO2=944, PM2.5=13.7
2025-04-15 13:55:58, CO2=945, PM2.5=13.5
2025-04-15 13:56:31, CO2=949, PM2.5=13.7
2025-04-15 13:57:03, CO2=961, PM2.5=13.6
2025-04-15 13:57:36, CO2=966, PM2.5=13.6
2025-04-15 13:58:10, CO2=966, PM2.5=13.1
2025-04-15 13:58:42, CO2=962, PM2.5=12.9
2025-04-15 13:59:16, CO2=965, PM2.5=13.2
2025-04-15 13:59:50, CO2=966, PM2.5=13.8
2025-04-15 14:00:23, CO2=967, PM2.5=13.5
2025-04-15 14:00:57, CO2=965, PM2.5=13.6
2025-04-15 14:01:30, CO2=956, PM2.5=13.8
2025-04-15 14:02:04, CO2=955, PM2.5=13.6
2025-04-15 14:02:37, CO2=955, PM2.5=13.2
2025-04-15 14:03:11, CO2=956, PM2.5=14.0
2025-04-15 14:03:44, CO2=955, PM2.5=13.0
2025-04-15 14:04:20, CO2=955, PM2.5=13.3
2025-04-15 14:04:53, CO2=950, PM2.5=13.7
2025-04-15 14:05:26, CO2=945, PM2.5=13.9
2025-04-15 14:06:01, CO2=945, PM2.5=13.4
2025-04-15 14:06:35, CO2=943, PM2.5=14.1
2025-04-15 14:07:08, CO2=940, PM2.5=13.8
2025-04-15 14:07:42, CO2=937, PM2.5=13.0
2025-04-15 14:08:16, CO2=935, PM2.5=13.2
2025-04-15 14:08:49, CO2=931, PM2.5=14.0
2025-04-15 14:09:22, CO2=928, PM2.5=13.7
2025-04-15 14:09:55, CO2=920, PM2.5=13.5
2025-04-15 14:10:28, CO2=918, PM2.5=14.2
2025-04-15 14:11:01, CO2=918, PM2.5=13.9
2025-04-15 14:11:34, CO2=920, PM2.5=14.0
2025-04-15 14:12:07, CO2=922, PM2.5=14.0
2025-04-15 14:12:40, CO2=921, PM2.5=14.2
2025-04-15 14:13:13, CO2=918, PM2.5=13.6
2025-04-15 14:13:46, CO2=918, PM2.5=14.1
2025-04-15 14:14:21, CO2=918, PM2.5=13.1
2025-04-15 14:14:54, CO2=918, PM2.5=12.7
2025-04-15 14:15:29, CO2=920, PM2.5=13.5
2025-04-15 14:16:02, CO2=920, PM2.5=13.3
2025-04-15 14:16:36, CO2=919, PM2.5=13.0
2025-04-15 14:17:09, CO2=918, PM2.5=13.5
2025-04-15 14:17:43, CO2=915, PM2.5=13.7
2025-04-15 14:18:00, CO2=914, PM2.5=14.1
2025-04-15 14:18:34, CO2=915, PM2.5=14.0
2025-04-15 14:19:07, CO2=915, PM2.5=13.7
2025-04-15 14:19:41, CO2=912, PM2.5=14.0
2025-04-15 14:20:15, CO2=910, PM2.5=13.8
2025-04-15 14:20:48, CO2=909, PM2.5=13.7
2025-04-15 14:21:22, CO2=907, PM2.5=14.7
2025-04-15 14:21:55, CO2=907, PM2.5=13.9
2025-04-15 14:22:28, CO2=905, PM2.5=13.6
2025-04-15 14:23:02, CO2=905, PM2.5=13.7
2025-04-15 14:23:36, CO2=902, PM2.5=13.3
2025-04-15 14:24:09, CO2=903, PM2.5=14.1
2025-04-15 14:24:42, CO2=904, PM2.5=13.5
2025-04-15 14:25:16, CO2=905, PM2.5=14.0
2025-04-15 14:25:50, CO2=902, PM2.5=14.0
2025-04-15 14:26:23, CO2=901, PM2.5=14.4
2025-04-15 14:26:56, CO2=904, PM2.5=14.4
2025-04-15 14:27:29, CO2=903, PM2.5=14.1
2025-04-15 14:28:02, CO2=902, PM2.5=13.9
2025-04-15 14:28:35, CO2=898, PM2.5=13.6
2025-04-15 14:29:08, CO2=895, PM2.5=13.5
2025-04-15 14:29:41, CO2=915, PM2.5=13.2
2025-04-15 14:30:14, CO2=920, PM2.5=13.9
2025-04-15 14:30:47, CO2=913, PM2.5=14.4
2025-04-15 14:31:20, CO2=910, PM2.5=14.2
2025-04-15 14:31:54, CO2=908, PM2.5=13.8
2025-04-15 14:32:27, CO2=901, PM2.5=13.7
2025-04-15 14:33:00, CO2=901, PM2.5=13.9
2025-04-15 14:33:33, CO2=901, PM2.5=14.1
2025-04-15 14:34:06, CO2=900, PM2.5=14.2
2025-04-15 14:34:40, CO2=898, PM2.5=13.8
2025-04-15 14:35:13, CO2=899, PM2.5=13.8
2025-04-15 14:35:46, CO2=901, PM2.5=13.4
2025-04-15 14:36:19, CO2=901, PM2.5=13.0
2025-04-15 14:36:52, CO2=903, PM2.5=13.4
2025-04-15 14:37:25, CO2=902, PM2.5=13.8
2025-04-15 14:37:58, CO2=902, PM2.5=13.6
2025-04-15 14:38:31, CO2=902, PM2.5=13.7
2025-04-15 14:39:04, CO2=901, PM2.5=14.3
2025-04-15 14:39:38, CO2=902, PM2.5=13.2
2025-04-15 14:40:11, CO2=904, PM2.5=14.1
2025-04-15 14:40:44, CO2=904, PM2.5=13.7
2025-04-15 14:41:18, CO2=905, PM2.5=13.8
2025-04-15 14:41:52, CO2=904, PM2.5=14.8
2025-04-15 14:42:25, CO2=905, PM2.5=14.5
2025-04-15 14:42:59, CO2=905, PM2.5=14.0
2025-04-15 14:43:32, CO2=906, PM2.5=14.6
2025-04-15 14:44:05, CO2=906, PM2.5=13.2
2025-04-15 14:44:38, CO2=906, PM2.5=14.5
2025-04-15 14:45:12, CO2=906, PM2.5=13.7
2025-04-15 14:45:45, CO2=906, PM2.5=13.1
2025-04-15 14:46:18, CO2=904, PM2.5=14.1
2025-04-15 14:46:51, CO2=904, PM2.5=14.1
2025-04-15 14:47:25, CO2=902, PM2.5=13.7
2025-04-15 14:47:58, CO2=901, PM2.5=14.1
2025-04-15 14:48:31, CO2=902, PM2.5=13.1
2025-04-15 14:49:04, CO2=901, PM2.5=14.0
2025-04-15 14:49:37, CO2=901, PM2.5=13.8
2025-04-15 14:50:10, CO2=903, PM2.5=14.0
2025-04-15 14:50:43, CO2=902, PM2.5=13.9
2025-04-15 14:51:16, CO2=903, PM2.5=14.3
2025-04-15 14:51:49, CO2=902, PM2.5=15.0
2025-04-15 14:52:22, CO2=901, PM2.5=14.0
2025-04-15 14:52:56, CO2=902, PM2.5=13.9
2025-04-15 14:53:29, CO2=903, PM2.5=14.0
2025-04-15 14:54:02, CO2=905, PM2.5=13.7
2025-04-15 14:54:35, CO2=908, PM2.5=13.8
2025-04-15 14:55:08, CO2=910, PM2.5=14.1
2025-04-15 14:55:41, CO2=910, PM2.5=14.2
2025-04-15 14:56:14, CO2=911, PM2.5=14.1
2025-04-15 14:56:48, CO2=911, PM2.5=14.3
2025-04-15 14:57:21, CO2=911, PM2.5=13.2
2025-04-15 14:57:54, CO2=912, PM2.5=14.5
2025-04-15 14:58:27, CO2=912, PM2.5=13.4
2025-04-15 14:59:01, CO2=912, PM2.5=13.9
2025-04-15 14:59:34, CO2=912, PM2.5=14.4
2025-04-15 15:00:07, CO2=912, PM2.5=14.6
2025-04-15 15:00:40, CO2=912, PM2.5=14.2
2025-04-15 15:01:13, CO2=912, PM2.5=13.6
2025-04-15 15:01:47, CO2=912, PM2.5=14.0
2025-04-15 15:02:21, CO2=912, PM2.5=13.6
2025-04-15 15:02:54, CO2=912, PM2.5=14.3
2025-04-15 15:03:27, CO2=910, PM2.5=13.7
2025-04-15 15:04:00, CO2=910, PM2.5=14.3
2025-04-15 15:04:34, CO2=909, PM2.5=13.8
2025-04-15 15:05:07, CO2=909, PM2.5=14.2
2025-04-15 15:05:41, CO2=910, PM2.5=14.3
2025-04-15 15:06:15, CO2=910, PM2.5=13.5
2025-04-15 15:06:48, CO2=909, PM2.5=14.2
2025-04-15 15:07:21, CO2=908, PM2.5=13.9
2025-04-15 15:07:55, CO2=909, PM2.5=13.9
2025-04-15 15:08:28, CO2=910, PM2.5=13.9
2025-04-15 15:09:04, CO2=911, PM2.5=14.1
2025-04-15 15:09:38, CO2=912, PM2.5=14.2
2025-04-15 15:10:11, CO2=913, PM2.5=13.5
2025-04-15 15:10:45, CO2=914, PM2.5=13.3
2025-04-15 15:11:18, CO2=916, PM2.5=13.2
2025-04-15 15:11:51, CO2=916, PM2.5=14.1
2025-04-15 15:12:25, CO2=919, PM2.5=14.5
2025-04-15 15:12:59, CO2=922, PM2.5=14.8
2025-04-15 15:13:32, CO2=923, PM2.5=14.0
2025-04-15 15:14:06, CO2=922, PM2.5=13.9
2025-04-15 15:14:39, CO2=924, PM2.5=13.6
2025-04-15 15:15:12, CO2=923, PM2.5=14.0
2025-04-15 15:15:45, CO2=924, PM2.5=14.0
2025-04-15 15:16:18, CO2=924, PM2.5=13.8
2025-04-15 15:16:51, CO2=927, PM2.5=13.3
2025-04-15 15:17:24, CO2=936, PM2.5=13.8
2025-04-15 15:17:57, CO2=937, PM2.5=14.2
2025-04-15 15:18:30, CO2=937, PM2.5=13.0
2025-04-15 15:19:03, CO2=935, PM2.5=13.6
2025-04-15 15:19:37, CO2=935, PM2.5=13.8
2025-04-15 15:20:10, CO2=932, PM2.5=13.9
2025-04-15 15:20:43, CO2=932, PM2.5=13.8
2025-04-15 15:21:16, CO2=935, PM2.5=13.5
2025-04-15 15:21:50, CO2=933, PM2.5=13.9
2025-04-15 15:22:23, CO2=932, PM2.5=13.7
2025-04-15 15:22:56, CO2=934, PM2.5=13.6
2025-04-15 15:23:29, CO2=936, PM2.5=14.0
2025-04-15 15:24:03, CO2=938, PM2.5=13.5
2025-04-15 15:24:36, CO2=938, PM2.5=14.1
2025-04-15 15:25:09, CO2=937, PM2.5=13.7
2025-04-15 15:25:42, CO2=938, PM2.5=13.9
2025-04-15 15:26:16, CO2=939, PM2.5=13.8
2025-04-15 15:26:49, CO2=943, PM2.5=13.5
2025-04-15 15:27:22, CO2=943, PM2.5=14.2
2025-04-15 15:27:55, CO2=942, PM2.5=13.5
2025-04-15 15:28:28, CO2=943, PM2.5=13.4
2025-04-15 15:29:01, CO2=946, PM2.5=13.7
2025-04-15 15:29:35, CO2=946, PM2.5=13.7
2025-04-15 15:30:09, CO2=942, PM2.5=13.8
2025-04-15 15:30:42, CO2=955, PM2.5=13.0
2025-04-15 15:31:15, CO2=959, PM2.5=12.7
2025-04-15 15:31:48, CO2=958, PM2.5=13.5
2025-04-15 15:32:21, CO2=952, PM2.5=13.7
2025-04-15 15:32:54, CO2=949, PM2.5=14.2
2025-04-15 15:33:27, CO2=949, PM2.5=13.7
2025-04-15 15:34:00, CO2=963, PM2.5=13.7
2025-04-15 15:34:33, CO2=964, PM2.5=13.4
2025-04-15 15:35:06, CO2=966, PM2.5=13.9
2025-04-15 15:35:40, CO2=973, PM2.5=13.8
2025-04-15 15:36:13, CO2=973, PM2.5=13.4
2025-04-15 15:36:46, CO2=968, PM2.5=13.4
2025-04-15 15:37:19, CO2=961, PM2.5=13.4
2025-04-15 15:37:52, CO2=957, PM2.5=13.4
2025-04-15 15:38:25, CO2=965, PM2.5=13.3
2025-04-15 15:38:58, CO2=970, PM2.5=13.6
2025-04-15 15:39:31, CO2=973, PM2.5=12.8
2025-04-15 15:40:05, CO2=976, PM2.5=14.1
2025-04-15 15:40:38, CO2=976, PM2.5=13.5
2025-04-15 15:41:11, CO2=977, PM2.5=13.9
2025-04-15 15:41:44, CO2=977, PM2.5=13.8
2025-04-15 15:42:17, CO2=982, PM2.5=13.1
2025-04-15 15:42:51, CO2=984, PM2.5=12.4
2025-04-15 15:43:24, CO2=996, PM2.5=13.1
2025-04-15 15:43:57, CO2=996, PM2.5=13.4
2025-04-15 15:44:31, CO2=991, PM2.5=14.3
2025-04-15 15:45:04, CO2=987, PM2.5=12.7
2025-04-15 15:45:37, CO2=982, PM2.5=13.6
2025-04-15 15:46:11, CO2=975, PM2.5=13.4
2025-04-15 15:46:44, CO2=970, PM2.5=13.8
2025-04-15 15:47:17, CO2=965, PM2.5=13.8
2025-04-15 15:47:50, CO2=963, PM2.5=13.7
2025-04-15 15:48:23, CO2=958, PM2.5=13.5
2025-04-15 15:48:56, CO2=956, PM2.5=13.6
2025-04-15 15:49:30, CO2=961, PM2.5=13.4
2025-04-15 15:50:02, CO2=968, PM2.5=13.4
2025-04-15 15:50:36, CO2=981, PM2.5=13.3
2025-04-15 15:51:09, CO2=987, PM2.5=13.5
2025-04-15 15:51:42, CO2=992, PM2.5=13.9
2025-04-15 15:52:15, CO2=991, PM2.5=13.6
2025-04-15 15:52:48, CO2=986, PM2.5=13.8
2025-04-15 15:53:21, CO2=982, PM2.5=13.3
2025-04-15 15:53:54, CO2=983, PM2.5=13.3
2025-04-15 15:54:27, CO2=986, PM2.5=12.4
2025-04-15 15:55:00, CO2=984, PM2.5=13.7
2025-04-15 15:55:33, CO2=984, PM2.5=13.9
2025-04-15 15:56:06, CO2=985, PM2.5=13.2
2025-04-15 15:56:39, CO2=986, PM2.5=13.4
2025-04-15 15:57:12, CO2=984, PM2.5=13.1
2025-04-15 15:57:45, CO2=982, PM2.5=13.1
2025-04-15 15:58:19, CO2=977, PM2.5=14.1
2025-04-15 15:58:52, CO2=976, PM2.5=14.2
2025-04-15 15:59:25, CO2=975, PM2.5=14.3
2025-04-15 15:59:58, CO2=975, PM2.5=13.9
2025-04-15 16:00:31, CO2=973, PM2.5=13.4
2025-04-15 16:01:04, CO2=974, PM2.5=13.4
2025-04-15 16:01:37, CO2=973, PM2.5=13.3
2025-04-15 16:02:10, CO2=970, PM2.5=12.5
2025-04-15 16:02:44, CO2=971, PM2.5=14.0
2025-04-15 16:03:17, CO2=969, PM2.5=14.0
2025-04-15 16:03:50, CO2=966, PM2.5=13.0
2025-04-15 16:04:24, CO2=966, PM2.5=12.7
2025-04-15 16:04:57, CO2=968, PM2.5=13.3
2025-04-15 16:05:31, CO2=968, PM2.5=12.6
2025-04-15 16:06:04, CO2=968, PM2.5=13.5
2025-04-15 16:06:38, CO2=967, PM2.5=13.0
2025-04-15 16:07:10, CO2=968, PM2.5=13.4
2025-04-15 16:07:44, CO2=969, PM2.5=13.6
2025-04-15 16:08:17, CO2=970, PM2.5=12.7
2025-04-15 16:08:50, CO2=971, PM2.5=13.8
2025-04-15 16:09:23, CO2=974, PM2.5=14.4
2025-04-15 16:09:56, CO2=972, PM2.5=13.7
2025-04-15 16:10:29, CO2=970, PM2.5=13.0
2025-04-15 16:11:02, CO2=969, PM2.5=13.8
2025-04-15 16:11:35, CO2=970, PM2.5=12.7
2025-04-15 16:12:08, CO2=967, PM2.5=13.1
2025-04-15 16:12:41, CO2=967, PM2.5=13.6
2025-04-15 16:13:14, CO2=967, PM2.5=14.2
2025-04-15 16:13:47, CO2=969, PM2.5=13.9
2025-04-15 16:14:20, CO2=970, PM2.5=13.0
2025-04-15 16:14:54, CO2=970, PM2.5=13.0
2025-04-15 16:15:27, CO2=970, PM2.5=14.0
2025-04-15 16:16:00, CO2=970, PM2.5=13.1
2025-04-15 16:16:33, CO2=970, PM2.5=13.7
2025-04-15 16:17:06, CO2=970, PM2.5=14.1
2025-04-15 16:17:39, CO2=971, PM2.5=13.4
2025-04-15 16:18:12, CO2=972, PM2.5=13.1
2025-04-15 16:18:45, CO2=970, PM2.5=13.3
2025-04-15 16:19:18, CO2=970, PM2.5=14.0
2025-04-15 16:19:51, CO2=970, PM2.5=12.9
2025-04-15 16:20:25, CO2=970, PM2.5=13.1
2025-04-15 16:20:58, CO2=975, PM2.5=12.5
2025-04-15 16:21:31, CO2=976, PM2.5=13.8
2025-04-15 16:22:04, CO2=971, PM2.5=14.1
2025-04-15 16:22:38, CO2=964, PM2.5=13.6
2025-04-15 16:23:11, CO2=961, PM2.5=12.6
2025-04-15 16:23:46, CO2=960, PM2.5=13.8
2025-04-15 16:24:20, CO2=961, PM2.5=13.0
2025-04-15 16:24:52, CO2=961, PM2.5=13.8
2025-04-15 16:25:25, CO2=962, PM2.5=13.3
2025-04-15 16:25:59, CO2=963, PM2.5=12.4
2025-04-15 16:26:32, CO2=962, PM2.5=12.8
2025-04-15 16:27:05, CO2=962, PM2.5=14.5
2025-04-15 16:27:38, CO2=964, PM2.5=14.0
2025-04-15 16:28:11, CO2=965, PM2.5=13.1
2025-04-15 16:28:44, CO2=965, PM2.5=12.2
2025-04-15 16:29:17, CO2=964, PM2.5=12.3
2025-04-15 16:29:50, CO2=965, PM2.5=13.1
2025-04-15 16:30:24, CO2=965, PM2.5=14.5
2025-04-15 16:30:58, CO2=965, PM2.5=13.6
2025-04-15 16:31:34, CO2=967, PM2.5=13.0
2025-04-15 16:32:07, CO2=967, PM2.5=13.7
2025-04-15 16:32:40, CO2=966, PM2.5=14.1
2025-04-15 16:33:13, CO2=965, PM2.5=13.9
2025-04-15 16:33:47, CO2=964, PM2.5=13.9
2025-04-15 16:34:20, CO2=964, PM2.5=13.8
2025-04-15 16:34:54, CO2=964, PM2.5=13.3
2025-04-15 16:35:28, CO2=964, PM2.5=12.9
2025-04-15 16:36:01, CO2=964, PM2.5=13.4
